,CL,CL_log,CD,CD_log,Cm,Cm_log,Va,alpha,alpha_deg
1668,-0.7556634715189242,-0.7167617053909455,1.2677665864381933,1.2217972584001346,0.06846346685921789,-0.0603435355994749,6.683676228367913,-0.39037645686938527,-22.348917261481514
1641,-0.6666909278188273,-0.43967025027537937,1.2680923148769998,1.4125936290270373,0.06179369561460257,-0.026712496133263382,6.477482333493818,-0.3891242474716951,-22.339061540768153
901,-0.8141660907998493,-0.5213203881062972,1.323697205959244,1.2929061220558538,0.01648686143317346,-0.2162302077552141,6.427592744775684,-0.38954639781467165,-22.33048082026653
1639,-0.6341309052090713,-0.5348614117060108,1.2621102783131684,1.3647091512527618,0.06443028584948673,-0.08908705784443739,6.453539848331013,-0.388939191964751,-22.323343910237924
1644,-0.6552688570104855,-0.44201163179867475,1.2612921023004102,1.3023071631021343,0.06772915361195397,-0.1538516057989278,6.501842701063616,-0.38887691291151055,-22.320944186462423
1643,-0.5696670083426301,-0.41076108797556077,1.2404582983561065,1.359698327883184,0.08324033143405396,-0.10843328703517131,6.484645449283024,-0.389440278787239,-22.31876476826813
1640,-0.628466695767523,-0.4702562186484411,1.2577802629706567,1.3646013748687236,0.06882301550852232,-0.050881714886532814,6.472752351085455,-0.3886144952777601,-22.30825676476382
1684,-0.8839336164229326,-0.8887342987951223,1.3004088770394795,1.162208830367625,0.05912307975265407,-0.012343898430184758,6.7903872505187355,-0.38827031581478944,-22.26847330759204
1645,-0.6653134343997821,-0.5147060442435085,1.262308919888902,1.3085565214355086,0.06745308171081832,-0.14489813647481337,6.515526091780299,-0.3884912652193033,-22.264229357849203
1646,-0.679466999279185,-0.5824688992788826,1.2660649305597156,1.355916944654746,0.06491279588915533,-0.0947823300216667,6.518853864562599,-0.3882198054604062,-22.264216661614057
1638,-0.7347606797801701,-0.6407603929824968,1.2960978051763263,1.45979626226326,0.039393123479180225,-0.10719344110411015,6.42973136048812,-0.3901376042919834,-22.263334614759675
907,-0.8302239796799253,-0.49726315574134433,1.3217081452428898,1.2580965278215637,0.02739907341819814,-0.18058375568874047,6.482420195623982,-0.3890739307552946,-22.243352459154096
1642,-0.6271543412410114,-0.4188166979600424,1.2568601925984262,1.4185379338227562,0.07006837941079636,-0.049153657486973056,6.476649430385579,-0.3896103899141661,-22.21790561320127
1598,-0.789651262584026,-0.794866080110227,1.4146241571417408,1.7461554137007107,-0.08382781625069335,-0.12943859310483083,5.804255143393473,-0.38889296222362946,-22.19666513290191
1667,-0.7181763404631134,-0.6547716121086462,1.2573380230875655,1.1838233991636882,0.07452214553035685,-0.06362618710703542,6.669991890195949,-0.3877927939538484,-22.196103615540075
1239,-0.47170217406105475,-0.07141903847632115,1.277039978413033,1.1232390142788824,0.03570103097007671,-0.32436036173682165,6.092384115604942,-0.3873646694535367,-22.192358811238126
1647,-0.7170393476529988,-0.5884417213579722,1.2774441497482103,1.3703042511276695,0.05740302951661436,-0.05768742721232437,6.520730251612837,-0.38747366784013665,-22.173231744354307
908,-0.8394238641057754,-0.4536777967682615,1.3242384314040474,1.2894718639544263,0.026615753395221153,-0.22903105050177278,6.4886125155849586,-0.3856854350519201,-22.16734454302539
532,-1.5250511119638637,-1.174395238046745,2.8081397727073325,3.4292613898624063,-1.3508817231162467,-1.2213462828405226,2.918814126029636,-0.3861350381211704,-22.138300981536464
554,-2.4064549150303445,-1.841129156940086,3.376638578085414,3.630043191444626,-1.2831533679467686,-1.9281417349582364,3.236197148515853,-0.38908940000412645,-22.12631332231009
1649,-0.6158594399770727,-0.45915326104657206,1.2430820576038766,1.2745453021362918,0.08328830962930978,-0.1208562122808896,6.552521209351967,-0.38508338325785696,-22.122651042157752
1651,-0.6681421276789345,-0.47926712012530936,1.2563205105083823,1.3430349571677926,0.0742251346305518,-0.11937562931033137,6.5644725855351105,-0.3852934835862363,-22.09840414397758
1597,-0.81521371553119,-0.8480189320985023,1.4251974367281321,1.722269979732518,-0.09091180742263938,-0.10771460150765587,5.795960972545238,-0.3853617378204803,-22.090087861124715
1650,-0.6337686788482177,-0.44253861214080825,1.2462778233087901,1.2844325392466938,0.08140541301611282,-0.14819526840225475,6.56528854737021,-0.3849488738123574,-22.077461762750954
1685,-0.8500050475457671,-0.9065002782402183,1.2858337179975465,1.1763873010552275,0.06802372889797192,-0.03659405881549215,6.802169975687365,-0.3853086883601346,-22.0762072986551
1648,-0.6491057896285177,-0.5278298489117977,1.2551513668316392,1.3245585263268267,0.07345998521280661,-0.07243153855696786,6.532872109676872,-0.38616205708135437,-22.06361104864909
900,-0.8369722747264442,-0.5224312430598415,1.3335242185588128,1.2740663453042154,0.009391671859078965,-0.13508691863127492,6.417415542176828,-0.38552977458409143,-22.049757032105546
1193,-1.6460043861515046,-1.831601158757105,2.253853267473403,2.3915335793245545,-0.6618867977177274,-0.3479276299904922,4.248084746050515,-0.3856747655903999,-22.01879542543236
1686,-0.8903172473242522,-0.9005485919808881,1.3012277820984388,1.1866707987171727,0.059837936364907085,-0.04914546310649914,6.803510739121897,-0.3826438837255316,-21.981259381228377
1666,-0.7190893239115068,-0.6020304702932627,1.2583581558313224,1.1366837049019065,0.0739469905435115,-0.06046399400257708,6.664558716582981,-0.38432301022176724,-21.97499443702467
1185,-0.7889814719329856,0.11569447619234001,1.9164518368758512,2.4196365406505422,-0.6204561007358269,-1.0217508358507885,3.8991444734437906,-0.3838598822374956,-21.973692801251865
1652,-0.662087105470964,-0.5208814238203346,1.255116936778039,1.3772543309568595,0.07511244272127904,-0.04970135183636074,6.560258395857026,-0.3848685735689883,-21.967411262384758
1653,-0.641288740120683,-0.5305561214158774,1.2482791565083688,1.3419967132476471,0.08048597836073967,0.013987605344695923,6.566201050932223,-0.383165576507245,-21.967143881614106
1665,-0.6942040713957348,-0.6085492954945623,1.251416745395451,1.1287534275032358,0.0787060382983562,-0.03386430326230828,6.658142163042957,-0.381133391008712,-21.910419317565268
899,-0.809400139155642,-0.49880554850549075,1.3251308454165558,1.2478247882203373,0.012515235548803183,-0.1087151339029915,6.405842635918191,-0.3807805143317453,-21.874229943013567
1654,-0.6529402642445618,-0.5226041978665066,1.2494974652070197,1.274448698725437,0.08019301022078662,0.03744529642302442,6.5816182851291085,-0.38109629661571537,-21.849920186887235
